#,ocla,oID,tcla,tID
0,1,96,342,17132
1,1,96,383,19154
2,1,96,607,30372
3,1,96,736,36848
4,1,96,772,38606
5,11,585,298,14903
6,11,585,392,19633
7,11,585,732,36614
8,11,585,780,39040
9,11,585,992,49603
10,24,1223,49,2465
11,24,1223,262,13108
12,24,1223,324,16233
13,24,1223,401,20057
14,24,1223,598,29917
15,25,1251,349,17480
16,25,1251,362,18108
17,25,1251,528,26432
18,25,1251,801,40093
19,25,1251,960,48025
20,26,1340,435,21794
21,26,1340,592,29642
22,26,1340,691,34593
23,26,1340,800,40023
24,26,1340,832,41614
25,27,1355,493,24659
26,27,1355,676,33816
27,27,1355,791,39568
28,27,1355,949,47495
29,27,1355,957,47852
30,28,1437,147,7353
31,28,1437,200,10024
32,28,1437,654,32728
33,28,1437,783,39153
34,28,1437,910,45503
35,39,1981,487,24359
36,39,1981,687,34377
37,39,1981,712,35614
38,39,1981,885,44266
39,39,1981,990,49536
40,41,2059,73,3689
41,41,2059,89,4491
42,41,2059,489,24493
43,41,2059,782,39138
44,41,2059,945,47295
45,45,2264,48,2415
46,45,2264,254,12748
47,45,2264,257,12896
48,45,2264,719,35979
49,45,2264,818,40906
50,49,2492,453,22697
51,49,2492,721,36081
52,49,2492,765,38281
53,49,2492,801,40052
54,49,2492,999,49967
55,51,2553,446,22308
56,51,2553,513,25658
57,51,2553,714,35707
58,51,2553,786,39340
59,51,2553,951,47557
60,59,2970,156,7831
61,59,2970,315,15755
62,59,2970,604,30243
63,59,2970,692,34622
64,59,2970,866,43322
65,60,3042,449,22473
66,60,3042,553,27668
67,60,3042,707,35383
68,60,3042,811,40576
69,60,3042,904,45204
70,64,3233,182,9145
71,64,3233,191,9550
72,64,3233,415,20766
73,64,3233,554,27732
74,64,3233,804,40216
75,68,3433,143,7159
76,68,3433,406,20318
77,68,3433,551,27594
78,68,3433,768,38449
79,68,3433,792,39638
80,73,3670,206,10308
81,73,3670,293,14680
82,73,3670,310,15507
83,73,3670,826,41335
84,73,3670,828,41441
85,78,3915,166,8339
86,78,3915,283,14168
87,78,3915,389,19452
88,78,3915,471,23599
89,78,3915,953,47695
90,88,4415,226,11321
91,88,4415,333,16692
92,88,4415,375,18798
93,88,4415,581,29096
94,88,4415,603,30164
95,92,4609,233,11652
96,92,4609,392,19606
97,92,4609,621,31050
98,92,4609,829,41487
99,92,4609,850,42507
100,100,5028,526,26346
101,100,5028,545,27263
102,100,5028,556,27832
103,100,5028,632,31645
104,100,5028,722,36147
105,116,5817,16,837
106,116,5817,23,1164
107,116,5817,830,41505
108,116,5817,919,45968
109,116,5817,936,46843
110,127,6384,531,26593
111,127,6384,692,34613
112,127,6384,718,35910
113,127,6384,821,41060
114,127,6384,996,49842
115,128,6424,477,23873
116,128,6424,478,23949
117,128,6424,559,27997
118,128,6424,874,43700
119,128,6424,901,45091
120,139,6963,204,10238
121,139,6963,286,14326
122,139,6963,309,15467
123,139,6963,750,37521
124,139,6963,798,39900
125,141,7082,294,14743
126,141,7082,437,21894
127,141,7082,510,25501
128,141,7082,545,27251
129,141,7082,705,35278
130,151,7560,344,17226
131,151,7560,380,19042
132,151,7560,477,23891
133,151,7560,514,25746
134,151,7560,639,31966
135,157,7894,451,22598
136,157,7894,517,25880
137,157,7894,650,32528
138,157,7894,781,39079
139,157,7894,984,49246
140,168,8415,200,10020
141,168,8415,579,28995
142,168,8415,596,29812
143,168,8415,749,37458
144,168,8415,814,40712
145,172,8625,333,16676
146,172,8625,629,31480
