#,ocla,oID,tcla,tID,idx
0,1,96,383,19196,4
1,1,96,772,38606,6
2,1,96,607,30372,22
3,1,96,342,17132,32
4,1,96,736,36848,48
5,11,585,298,14903,3
6,11,585,992,49603,3
7,11,585,392,19633,33
8,11,585,780,39040,40
9,11,585,732,36614,14
10,24,1223,401,20057,7
11,24,1223,262,13108,8
12,24,1223,49,2465,15
13,24,1223,324,16233,33
14,24,1223,598,29917,17
15,25,1251,362,18108,8
16,25,1251,960,48025,25
17,25,1251,349,17480,30
18,25,1251,801,40093,43
19,25,1251,528,26432,32
20,26,1340,832,41614,14
21,26,1340,800,40023,23
22,26,1340,592,29642,42
23,26,1340,691,34593,43
24,26,1340,435,21794,44
25,27,1355,957,47852,2
26,27,1355,676,33816,16
27,27,1355,791,39568,18
28,27,1355,949,47495,45
29,27,1355,493,24659,9
30,28,1437,147,7353,3
31,28,1437,910,45516,3
32,28,1437,783,39153,3
33,28,1437,200,10024,24
34,28,1437,654,32728,28
35,39,1981,487,24359,9
36,39,1981,712,35614,14
37,39,1981,885,44266,16
38,39,1981,687,34377,27
39,39,1981,990,49536,36
40,41,2059,782,39100,38
41,41,2059,89,4491,41
42,41,2059,489,24493,43
43,41,2059,945,47295,45
44,41,2059,73,3689,39
45,45,2264,818,40906,6
46,45,2264,48,2415,15
47,45,2264,719,35979,29
48,45,2264,257,12856,46
49,45,2264,254,12748,48
50,49,2492,801,40052,2
51,49,2492,999,49967,17
52,49,2492,721,36081,31
53,49,2492,765,38281,31
54,49,2492,453,22697,47
55,51,2553,951,47557,7
56,51,2553,513,25658,8
57,51,2553,786,39340,40
58,51,2553,446,22308,8
59,51,2553,714,35707,7
60,59,2970,315,15755,5
61,59,2970,866,43322,22
62,59,2970,692,34622,22
63,59,2970,156,7831,31
64,59,2970,604,30243,43
65,64,3233,191,9550,0
66,64,3233,804,40216,16
67,64,3233,554,27732,32
68,64,3233,182,9145,45
69,64,3233,415,20766,16
70,73,3670,310,15507,7
71,73,3670,206,10308,8
72,73,3670,293,14680,30
73,73,3670,826,41335,35
74,73,3670,828,41441,41
75,78,3915,389,19452,2
76,78,3915,283,14168,18
77,78,3915,166,8339,39
78,78,3915,953,47695,45
79,78,3915,471,23599,49
80,88,4415,603,30164,14
81,88,4415,226,11321,21
82,88,4415,333,16692,42
83,88,4415,581,29091,46
84,88,4415,375,18798,48
85,92,4609,621,31050,0
86,92,4609,233,11652,2
87,92,4609,392,19606,6
88,92,4609,850,42507,7
89,92,4609,829,41487,37
90,100,5028,556,27832,32
91,100,5028,632,31645,45
92,100,5028,526,26346,46
93,100,5028,545,27263,13
94,100,5028,722,36147,47
95,111,5555,577,28850,0
96,111,5555,309,15470,20
97,111,5555,520,26027,27
98,111,5555,261,13081,31
99,111,5555,590,29537,37
100,116,5817,830,41505,5
101,116,5817,919,45968,18
102,116,5817,936,46843,43
103,116,5817,16,837,37
104,116,5817,23,1164,14
105,127,6384,718,35946,10
106,127,6384,821,41060,10
107,127,6384,692,34613,13
108,127,6384,996,49842,42
109,127,6384,531,26593,43
110,128,6424,874,43700,0
111,128,6424,477,23873,23
112,128,6424,559,27997,47
113,128,6424,478,23949,49
114,128,6424,901,45091,41
115,139,6963,798,39900,0
116,139,6963,309,15467,17
117,139,6963,750,37521,21
118,139,6963,286,14326,26
119,139,6963,204,10238,38
120,141,7082,510,25501,1
121,141,7082,545,27251,1
122,141,7082,705,35278,28
123,141,7082,294,14743,43
124,141,7082,437,21894,44
125,151,7560,639,31966,16
126,151,7560,344,17226,26
127,151,7560,380,19042,42
128,151,7560,514,25746,46
129,151,7560,477,23891,41
130,157,7894,650,32528,28
131,157,7894,781,39079,29
132,157,7894,517,25880,30
133,157,7894,984,49246,46
134,157,7894,451,22598,48
135,168,8415,814,40712,12
136,168,8415,596,29812,12
137,168,8415,200,10020,20
138,168,8415,579,28995,45
139,168,8415,749,37458,8
140,172,8625,890,44500,0
141,172,8625,712,35619,19
142,172,8625,333,16676,26
143,172,8625,629,31480,30
144,172,8625,916,45844,44
145,173,8658,801,40052,2
146,173,8658,947,47364,14
147,173,8658,248,12427,18
148,173,8658,330,16522,22
149,173,8658,964,48242,42
150,182,9140,510,25502,2
151,182,9140,963,48160,10
152,182,9140,889,44471,21
153,182,9140,846,42315,24
154,182,9140,510,25542,42
155,195,9762,388,19413,13
156,195,9762,222,11119,19
157,195,9762,800,40028,28
158,195,9762,322,16134,34
159,195,9762,784,39239,39
160,199,9956,226,11311,11
161,199,9956,925,46262,12
162,199,9956,839,41967,21
163,199,9956,707,35381,31
164,199,9956,236,11843,43
165,203,10187,521,26059,9
166,203,10187,218,10923,23
167,203,10187,978,48948,41
168,203,10187,605,30295,45
169,203,10187,746,37347,47
170,206,10327,573,28659,9
171,206,10327,810,40522,22
172,206,10327,402,20123,23
173,206,10327,323,16188,38
174,206,10327,271,13594,44
175,211,10597,570,28516,16
176,211,10597,618,30934,34
177,211,10597,415,20772,37
178,211,10597,439,21998,48
179,211,10597,670,33537,37
180,219,10965,352,17602,2
181,219,10965,234,11716,16
182,219,10965,630,31505,23
183,219,10965,646,32348,48
184,219,10965,21,1068,18
185,225,11259,5,281,31
186,225,11259,791,39587,37
187,225,11259,600,30048,39
188,225,11259,560,28047,47
189,225,11259,741,37081,31
190,230,11500,916,45802,2
191,230,11500,425,21276,26
192,230,11500,771,38587,37
193,230,11500,330,16537,37
194,230,11500,856,42834,34
195,239,11978,536,26804,4
196,239,11978,452,22632,32
197,239,11978,350,17542,42
198,239,11978,636,31803,42
199,239,11978,837,41896,46
200,240,12003,647,32356,6
201,240,12003,749,37457,7
202,240,12003,502,25132,32
203,240,12003,452,22642,42
204,240,12003,1,99,49
205,247,12365,962,48110,10
206,247,12365,845,42272,22
207,247,12365,625,31282,32
208,247,12365,483,24187,37
209,247,12365,3,194,44
210,262,13104,614,30706,6
211,262,13104,964,48218,18
212,262,13104,536,26808,29
213,262,13104,872,43641,41
214,262,13104,664,33226,26
215,263,13195,476,23801,1
216,263,13195,813,40665,15
217,263,13195,446,22322,22
218,263,13195,570,28532,32
219,263,13195,799,39988,38
220,276,13837,437,21851,1
221,276,13837,400,20030,30
222,276,13837,599,29999,49
223,276,13837,422,21137,37
224,276,13837,589,29488,38
225,289,14497,756,37816,16
226,289,14497,520,26017,17
227,289,14497,694,34737,37
228,289,14497,698,34940,40
229,289,14497,762,38119,19
230,292,14601,647,32379,29
231,292,14601,409,20487,37
232,292,14601,450,22546,46
233,292,14601,825,41299,49
234,292,14601,926,46316,16
235,294,14743,465,23252,2
236,294,14743,759,37953,3
237,294,14743,317,15853,3
238,294,14743,672,33615,15
239,294,14743,334,16740,40
240,309,15455,722,36115,15
241,309,15455,766,38333,33
242,309,15455,952,47633,33
243,309,15455,656,32842,42
244,309,15455,590,29547,47
245,311,15583,950,47513,13
246,311,15583,992,49616,16
247,311,15583,640,32036,36
248,311,15583,718,35938,38
249,311,15583,925,46292,42
250,318,15903,931,46574,24
251,318,15903,709,35481,31
252,318,15903,565,28289,39
253,318,15903,850,42544,44
254,318,15903,527,26395,45
255,322,16101,831,41560,10
256,322,16101,384,19212,12
257,322,16101,347,17374,24
258,322,16101,761,38079,29
259,322,16101,518,25928,28
260,340,17033,491,24561,11
261,340,17033,866,43312,12
262,340,17033,947,47366,16
263,340,17033,638,31935,35
264,340,17033,976,48828,28
265,343,17159,168,8401,1
266,343,17159,703,35158,8
267,343,17159,628,31426,26
268,343,17159,670,33528,28
269,343,17159,788,39443,46
270,356,17842,600,30003,3
271,356,17842,838,41910,10
272,356,17842,413,20653,10
273,356,17842,718,35915,15
274,356,17842,532,26620,20
275,359,17954,773,38663,13
276,359,17954,494,24734,34
277,359,17954,826,41340,40
278,359,17954,451,22594,44
279,359,17954,716,35847,47
280,372,18620,817,40862,12
281,372,18620,587,29371,21
282,372,18620,731,36586,36
283,372,18620,409,20499,49
284,372,18620,439,21994,44
285,376,18809,5,254,4
286,376,18809,629,31476,26
287,376,18809,91,4581,31
288,376,18809,176,8836,36
289,376,18809,178,8948,48
290,385,19275,599,29959,14
291,385,19275,642,32127,24
292,385,19275,685,34279,29
293,385,19275,793,39688,38
294,385,19275,493,24664,14
295,392,19602,791,39550,0
296,392,19602,541,27069,19
297,392,19602,822,41131,31
298,392,19602,446,22344,44
299,392,19602,792,39647,47
300,393,19671,693,34654,4
301,393,19671,246,12316,16
302,393,19671,519,25977,27
303,393,19671,770,38546,46
304,393,19671,400,20045,45
305,394,19719,967,48365,15
306,394,19719,715,35786,36
307,394,19719,928,46438,38
308,394,19719,667,33394,44
309,394,19719,564,28208,8
310,398,19940,651,32556,6
311,398,19940,709,35494,19
312,398,19940,733,36682,32
313,398,19940,762,38124,44
314,398,19940,865,43268,18
315,414,20728,162,8105,5
316,414,20728,416,20821,21
317,414,20728,179,8983,21
318,414,20728,252,12605,5
319,414,20728,955,47785,35
320,417,20878,184,9200,0
321,417,20878,298,14907,7
322,417,20878,148,7419,19
323,417,20878,202,10100,0
324,417,20878,627,31353,3
325,419,20992,958,47922,22
326,419,20992,514,25726,26
327,419,20992,795,39777,27
328,419,20992,760,38005,43
329,419,20992,764,38204,4
330,424,21246,857,42860,10
331,424,21246,947,47364,14
